ale,original
55,290
94,179
t43,t43
t57,t57
t149,t149
t24,t24
t65,t65
96,180
t15,t15
52,287
51,260
70,200
t83,t83
t85,t85
t82,t82
63,164
58,277
85,192
t98,t98
t94,t94
77,181
62,239
65,313
t119,t119
81,258
54,253
92,221
72,214
t56,t56
t55,t55
60,308
t113,t113
t69,t69
69,246
t145,t145
t139,t139
t150,t150
68,295
79,211
t54,t54
97,166
100,161
t29,t29
56,282
88,202
t142,t142
t118,t118
t47,t47
64,251
87,190
86,200
t111,t111
98,175
91,192
t104,t104
t156,t156
t28,t28
57,211
t127,t127
t89,t89
t4,t4
66,286
59,204
t70,t70
t31,t31
73,183
t11,t11
80,182
t79,t79
t14,t14
t23,t23
t39,t39
t144,t144
74,264
78,244
76,224
t100,t100
83,221
t97,t97
t87,t87
t32,t32
t44,t44
t84,t84
84,171
93,194
t96,t96
61,208
53,304
t137,t137
99,162
89,169
95,179
90,209
67,190
82,210
75,257
t16,t16
t21,t21
t78,t78
71,293
t136,t136
